# date yyyy-MM-dd | location, searchable in Google Maps | (blank) or 'arrived' | Flickr photo in slideshow link

2015-01-17|London, UK|arrived|https://www.flickr.com/photos/joekearney/16409134537/in/set-72157647810587354/player/
2015-03-03|Singapore|arrived|https://www.flickr.com/photos/joekearney/16993757822/in/set-72157651213580997/player/
2015-03-09|Kuala Lumpur, Malaysia|arrived|https://www.flickr.com/photos/joekearney/72157651224467947/player/
2015-03-12|Siem Reap, Cambodia|arrived|https://www.flickr.com/photos/joekearney/16859789842/in/set-72157649351024524/player/
2015-03-16|Phnom Penh, Cambodia|arrived|https://www.flickr.com/photos/joekearney/16994728741/in/set-72157649351024524/player/
2015-03-20|Singapore|arrived|https://www.flickr.com/photos/joekearney/16281296323/in/set-72157651689493255/player/
2015-03-24|Adelaide, Australia|arrived|https://www.flickr.com/photos/joekearney/16378861643/in/set-72157651231664507/player/
2015-03-26|Mount Gambier, Australia|arrived|https://www.flickr.com/photos/joekearney/16973032076/in/set-72157651231664507/player/
2015-03-26|Apollo Bay, Australia|arrived|https://www.flickr.com/photos/joekearney/16997612222/in/set-72157651231664507/player/
2015-03-28|Melbourne, Australia|arrived|https://www.flickr.com/photos/joekearney/16376715374/in/set-72157651625179136/player/
2015-04-12|Uluru, Australia|arrived|https://www.flickr.com/photos/joekearney/16588634984/in/set-72157651662279490/player/
2015-04-13|King's Canyon, Australia|arrived|https://www.flickr.com/photos/joekearney/16591436323/in/set-72157651662279490/player/
2015-04-14|Alice Springs, Australia|arrived|https://www.flickr.com/photos/joekearney/16589317524/in/set-72157651662279490/player/
2015-04-15|Sydney, Australia|arrived|
2015-04-16|Katoomba, Australia|arrived|https://www.flickr.com/photos/joekearney/16603615583/in/set-72157652104352875/player/
2015-04-20|Sydney, Australia|arrived|https://www.flickr.com/photos/joekearney/17339005565/in/set-72157652300500261/player/
2015-05-03|Bundeena, Australia|arrived|https://www.flickr.com/photos/joekearney/16770370783/in/set-72157652300500261/player/
2015-05-06|Sydney, Australia|arrived|
2015-05-07|Christchurch, New Zealand|arrived|https://www.flickr.com/photos/joekearney/17449015850/in/set-72157652379606419/player/
2015-05-09|Akaroa, New Zealand|arrived|https://www.flickr.com/photos/joekearney/17450849299/in/set-72157652379606419/player/
2015-05-10|Waihi Gorge, New Zealand|arrived|
2015-05-11|Mount Cook, New Zealand|arrived|
2015-05-13|Oamaru, New Zealand|arrived|
2015-05-13|Middlemarch, New Zealand|arrived|
2015-05-14|Dunedin, New Zealand|arrived|
2015-05-16|Te Anau, New Zealand||
2015-05-17|Milford Sound, New Zealand||
2015-05-19|Queenstown, New Zealand||
2015-06-01|Auckland, New Zealand||
2015-06-04|Brisbane, Australia||
2015-06-28|Cairns, Australia||
2015-06-29|Sydney, Australia||
2015-07-06|Hong Kong||
2015-07-21|London, UK||
